Time;SpeedRpm;SpeedKmph;GasSignal;LapNumber;MotorCommError;AssistantSwitch;BmsCommError;BmsRelays;BmsPower;BmsVoltage;DriveCommand;Energy;AuxiliaryBattery
357,65;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8118
358,2;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8116
359,2;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8125
359,7;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8155
360,2;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8167
360,7;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8171
361,2;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8145
361,7;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8145
362,2;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8145
362,7;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8123
363,2;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8191
363,7;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8166
364,65;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8157
365,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8112
365,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8162
366,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8153
366,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8162
367,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8138
367,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8152
368,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8117
368,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8109
369,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8068
369,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8153
370,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8158
370,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8135
371,3;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8157
371,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,813
372,3;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8116
372,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8091
373,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8162
373,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8147
374,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8154
374,8;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8145
375,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8118
375,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8098
376,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8075
376,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8139
377,3;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,815
377,8;0;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8145
378,3;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8131
378,8;0;0;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8134
379,25;76,25;0;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8119
379,75;77,75;7,96938;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8085
380,25;79,125;8,11031;0;0;false;false;false;14;4,02033;51,4602;false;1;12,8101
380,75;80,625;8,26406;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8066
381,25;81,3125;8,33453;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8157
381,8;80,75;8,27687;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8134
382,3;78,9375;8,09109;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8112
382,75;77,6875;7,96297;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8112
383,3;76,6875;7,86047;0;0;false;false;false;14;4,82439;51,4602;false;1;12,8067
