Time;Time_Race_s;LapNumber;SpeedKmph;Vehicle_Speed_mps;Distance;Distance_Race_m;BMS_Battery_Voltage_V;Acc_X_G;Acc_Y_G;Acc_Z_G
244,4112439;0;0;0,001025;0,000284722;71,12644814;0;48,888;-0,00390625;-0,015625;-0,96875
255,5112541;0;0;0,0451;0,012527778;71,19288508;0;48,887;-0,01171875;-0,01953125;-0,96484375
257,5112569;0;0;0,0369;0,01025;71,20455162;0;48,887;0,0078125;-0,01953125;-0,96875
259,2112551;0;0;0,01845;0,005125;71,22038152;0;48,887;0,00390625;-0,00390625;-0,9765625
261,0112441;0;0;0,087124999;0,024201389;71,23972506;0;48,887;0;-0,015625;-0,96875
262,711241;0;0;0,094299999;0,026194444;71,3642327;0;48,887;-0,03515625;-0,01171875;-0,96875
264,511241;0;0;0,516599995;0,143499999;71,55606486;0;48,886;0,00390625;-0,01171875;-0,96875
266,011265;0;0;0,154774999;0,042993055;71,67836364;0;48,886;-0,01171875;-0,01953125;-0,96484375
267,911242;0;0;0,060474999;0,016798611;71,745669;0;48,886;0;-0,015625;-0,96484375
269,811244;0;0;0,093274999;0,025909722;71,78095321;0;48,886;-0,01953125;-0,015625;-0,96484375
271,4112599;0;0;0,02255;0,006263889;71,82107695;0;48,886;-0,00390625;-0,01171875;-0,97265625
273,311239;0;0;0,0041;0,001138889;71,82699193;0;48,885;0,01171875;0;-0,96484375
274,8112481;0;0;0,00205;0,000569444;71,83059376;0;48,882;-0,0078125;-0,01171875;-0,96875
277,0112729;0;0;0,0205;0,005694444;71,85287388;0;48,881;-0,00390625;-0,01953125;-0,96484375
277,51126;0;0;0,02255;0,006263889;71,8561623;0;48,885;0,00390625;-0,015625;-0,96875
277,911238;0;0;0,0123;0,003416667;71,85863213;0;48,885;0,00390625;-0,01953125;-0,96484375
278,3112369;0;0;0,00205;0,000569444;71,85932265;0;48,885;0;-0,01953125;-0,97265625
278,811234;0;0;0,0369;0,01025;71,86174271;0;48,885;0;-0,01953125;-0,96484375
279,1112199;0;0;0,0164;0,004555556;71,86446189;0;48,885;0;-0,015625;-0,96875
279,511224;0;0;0,035875;0,009965278;71,86670756;0;48,885;0,0078125;-0,01171875;-0,95703125
280,111223;0;0;0,007175;0,001993056;71,87040923;0;48,885;-0,015625;-0,01953125;-0,9765625
280,511234;0;0;0,0082;0,002277778;71,87089685;0;48,885;0;-0,01953125;-0,96875
281,011282;0;0;0,015375;0,004270833;71,87319258;0;48,885;-0,01171875;-0,015625;-0,96484375
281,411248;0;0;0,0123;0,003416667;71,87503249;0;48,885;-0,00390625;-0,0234375;-0,97265625
281,811234;0;0;0,01025;0,002847222;71,87615709;0;48,885;-0,00390625;-0,015625;-0,97265625
282,2112451;0;0;0,00205;0,000569444;71,87748094;0;48,885;0;-0,015625;-0,97265625
282,7112279;0;0;0,009225;0,0025625;71,87789011;0;48,885;-0,00390625;-0,01171875;-0,96875
283,111248;0;0;0,007175;0,001993056;71,8788938;0;48,885;-0,0078125;-0,015625;-0,96875
283,4112248;0;0;0,001025;0,000284722;71,87934219;0;48,884;-0,00390625;-0,015625;-0,96875
284,5112429;0;0;0,01435;0,003986111;71,88062699;0;48,884;0;-0,01953125;-0,96875
285,7112379;0;0;0,007175;0,001993056;71,88520031;0;48,884;0;-0,01171875;-0,96875
286,611237;0;0;0,0041;0,001138889;71,88625736;0;48,884;0,0078125;-0,015625;-0,95703125
287,711242;0;0;0,0123;0,003416667;71,88904753;0;48,884;-0,00390625;-0,01953125;-0,97265625
288,7112699;0;0;0,015375;0,004270833;71,89246066;0;48,884;0;-0,015625;-0,96484375
289,711247;0;0;0,059449999;0,016513889;71,90194547;0;48,884;0;-0,0234375;-0,96875
290,6112161;0;0;0,0164;0,004555556;71,91380426;0;48,884;-0,015625;-0,01171875;-0,96875
291,7112229;0;0;0,02255;0,006263889;71,91784735;0;48,884;-0,0078125;-0,015625;-0,96875
292,611223;0;0;0,023575;0,006548611;71,92006463;0;48,884;0,01171875;-0,0234375;-0,9609375
293,6112449;0;0;0,013325;0,003701389;71,92262024;0;48,884;0,015625;-0,0078125;-0,9609375
294,711242;0;0;0,0205;0,005694444;71,92540685;0;48,884;0;-0,0234375;-0,96484375
295,6112509;0;0;0,01845;0,005125;71,93075226;0;48,884;0;-0,015625;-0,97265625
297,2112429;0;0;0,007175;0,001993056;71,93840794;0;48,883;-0,00390625;-0,015625;-0,9609375
298,111232;0;0;0,0082;0,002277778;71,94033337;0;48,881;-0,01953125;-0,01953125;-0,96875
299,211226;0;0;0,001025;0,000284722;71,9419884;0;48,88;0,00390625;-0,01171875;-0,95703125
300,9112411;0;0;0,0041;0,001138889;71,94454025;0;48,883;-0,00390625;-0,015625;-0,97265625
302,0112569;0;0;0,015375;0,004270833;71,94562569;0;48,883;-0,00390625;-0,01171875;-0,96875
302,9112399;0;0;0,03075;0,008541667;71,94956537;0;48,883;-0,0078125;-0,01953125;-0,96484375
303,9112189;0;0;0,011275;0,003131944;71,95297135;0;48,883;-0,01171875;-0,01171875;-0,96484375
305,211241;0;0;0,01845;0,005125;71,95597162;0;48,883;-0,00390625;-0,01953125;-0,97265625
306,111248;0;0;0,015375;0,004270833;71,9593848;0;48,883;-0,00390625;-0,01953125;-0,9765625
307,111233;0;0;0,007175;0,001993056;71,96210378;0;48,882;-0,01171875;-0,01171875;-0,96875
308,2112319;0;0;0,00205;0,000569444;71,96385124;0;48,882;-0,01171875;-0,015625;-0,97265625
309,211231;0;0;0;0;71,964556;0;48,882;-0,00390625;-0,01171875;-0,97265625
310,2112648;0;0;0,003075;0,000854167;71,96535679;0;48,882;0;-0,0078125;-0,97265625
311,2112379;0;0;0,00615;0,001708333;71,96612201;0;48,883;-0,00390625;-0,015625;-0,97265625
312,2112191;0;0;0,00205;0,000569444;71,96753851;0;48,882;-0,0078125;-0,0234375;-0,9609375
313,0112429;0;0;0,005125;0,001423611;71,97079537;0;48,882;-0,015625;-0,015625;-0,953125
313,0112429;0;0;0,005125;0,001423611;71,97079537;0;48,882;-0,015625;-0,015625;-0,953125
315,2112389;0;0;0,011275;0,003131944;71,97932989;0;48,882;-0,00390625;-0,015625;-0,96875
316,2112429;0;0;0,0164;0,004555556;71,9826718;0;48,882;0;-0,0234375;-0,96875
317,4114048;0;0;0,01025;0,002847222;71,98561937;0;48,882;0;-0,01171875;-0,97265625
318,6112449;0;0;0,003075;0,000854167;71,98734507;0;48,882;0;-0,01953125;-0,96875
319,511245;0;0;0,003075;0,000854167;71,98837009;0;48,882;0;-0,01171875;-0,96875
320,7112401;0;0;0,003075;0,000854167;71,99039874;0;48,882;0;-0,015625;-0,97265625
321,811249;0;0;0,01845;0,005125;71,99322824;0;48,881;-0,00390625;-0,015625;-0,96875
322,7112451;0;0;0,005125;0,001423611;71,99503979;0;48,881;-0,0078125;-0,015625;-0,96875
324,0112419;0;0;0,031775;0,008826389;72,00064182;0;48,882;0,00390625;-0,0234375;-0,96484375
327,311223;0;0;0,007175;0,001993056;72,01820202;0;48,881;0,00390625;-0,0078125;-0,97265625
328,811234;0;0;0,02255;0,006263889;72,03217112;0;48,882;0,0078125;-0,015625;-0,95703125
329,7112529;0;0;0,208074998;0,057798611;72,04645334;0;48,881;0,0234375;-0,00390625;-0,9609375
330,6112399;0;0;0,558624995;0,15517361;72,16107402;0;48,881;-0,0234375;-0,015625;-0,97265625
333,4112589;0;0;0,335174997;0,093104166;72,45944977;0;48,881;0,02734375;-0,01953125;-0,96875
334,111232;0;0;0,685724994;0,190479165;72,57127848;0;48,881;0,01953125;-0,02734375;-0,96484375
335,1112459;0;0;0,191674998;0,053243055;72,68244361;0;48,881;-0,0234375;-0,0234375;-0,96875
336,011229;0;0;0,171174999;0,047548611;72,74310888;0;48,88;0,01171875;-0,01953125;-0,9765625
337,111243;0;0;0,215249998;0,059791666;72,80575329;0;48,88;0,00390625;-0,01953125;-0,9609375
338,1112571;0;0;0,0205;0,005694444;72,82698734;0;48,881;-0,01171875;-0,01953125;-0,97265625
339,1112618;0;0;0,185524998;0,051534722;72,85123784;0;48,88;0,01171875;-0,03125;-0,9375
340,0112541;0;0;0,001025;0,000284722;72,86640542;0;48,874;0,0078125;-0,015625;-0,94921875
341,111259;0;0;0,03075;0,008541667;72,86986829;0;48,874;0,01171875;0;-0,9609375
342,0112579;0;0;0,0164;0,004555556;72,87514984;0;48,873;0,01171875;-0,015625;-0,98046875
343,2112401;0;0;0,001025;0,000284722;72,87649864;0;48,873;-0,015625;-0,015625;-0,96484375
344,211267;0;0;0,009225;0,0025625;72,89121125;0;48,879;0,03125;-0,015625;-0,9765625
345,1112409;0;0;0,046125;0,0128125;72,94814746;0;48,878;-0,0078125;-0,01953125;-0,99609375
346,1112449;0;0;0,001025;0,000284722;72,95143639;0;48,879;-0,04296875;-0,01953125;-0,96875
